Preço,Área (m²),Quartos,Banheiros,Garagem,Localização
538043,245,4,1,1,Zona Sul
436103,51,2,3,2,Zona Sul
216203,220,1,2,1,Centro
310775,281,1,1,1,Zona Norte
159337,255,2,1,0,Subúrbio
720715,290,1,2,0,Subúrbio
664723,165,2,3,2,Zona Norte
473673,256,1,2,1,Zona Norte
514167,224,3,2,0,Zona Norte
496809,78,3,1,2,Zona Norte
780075,262,2,1,0,Zona Norte
837281,223,1,3,0,Zona Norte
445451,217,4,1,1,Subúrbio
570571,190,1,1,1,Zona Norte
277016,165,3,2,0,Centro
941267,273,3,1,0,Zona Norte
694447,47,1,3,1,Zona Norte
647562,168,1,2,2,Subúrbio
852965,196,4,3,1,Subúrbio
533934,44,4,2,0,Zona Norte
467428,125,1,1,2,Subúrbio
469187,214,1,2,0,Zona Sul
840907,232,1,2,2,Subúrbio
232844,158,1,1,0,Subúrbio
701820,257,2,1,2,Subúrbio
315421,153,1,3,2,Subúrbio
272402,184,4,3,0,Centro
268012,65,3,1,2,Centro
588661,175,2,1,1,Centro
548929,271,1,1,0,Zona Norte
730466,115,3,2,1,Zona Norte
723695,40,2,2,0,Zona Sul
613556,186,3,2,2,Centro
725278,181,1,1,2,Zona Norte
279473,92,1,3,2,Subúrbio
628007,108,4,1,0,Subúrbio
994573,129,1,2,1,Centro
567009,259,1,2,1,Zona Sul
468714,231,2,1,0,Zona Sul
376156,102,4,1,0,Subúrbio
318964,112,2,2,1,Zona Sul
675303,200,3,2,1,Centro
211813,208,1,2,1,Subúrbio
177712,128,3,1,1,Zona Norte
774785,215,2,2,0,Zona Norte
917214,112,1,2,0,Zona Sul
262816,284,1,3,2,Subúrbio
278778,116,2,1,1,Subúrbio
736580,198,2,3,2,Zona Norte
435977,137,2,3,0,Subúrbio
285230,141,2,2,0,Subúrbio
868040,171,2,1,2,Subúrbio
956741,141,1,2,1,Zona Sul
419114,58,2,1,1,Subúrbio
484618,121,1,3,1,Centro
982972,168,1,1,1,Zona Sul
301456,128,2,2,2,Subúrbio
954449,252,2,2,2,Subúrbio
255570,182,4,2,0,Centro
420846,104,1,1,1,Zona Sul
150404,115,2,3,1,Zona Norte
853286,238,2,3,1,Zona Norte
424907,182,2,1,2,Zona Sul
823744,132,4,2,1,Subúrbio
865460,263,4,3,2,Subúrbio
815220,141,3,2,1,Zona Norte
385365,149,1,1,1,Zona Norte
492786,42,3,2,0,Zona Norte
200612,124,2,3,1,Centro
960006,156,4,3,1,Zona Norte
959956,260,4,2,0,Centro
350244,193,3,1,2,Zona Sul
947348,192,4,2,2,Subúrbio
154809,51,2,1,1,Zona Norte
313273,172,4,2,2,Subúrbio
858690,267,3,3,1,Subúrbio
294528,82,2,1,0,Zona Norte
656964,60,3,1,0,Zona Norte
599613,146,4,1,1,Zona Sul
188765,156,3,3,0,Centro
981538,163,3,2,0,Centro
466076,242,1,3,1,Subúrbio
993523,90,4,1,1,Zona Norte
696237,180,4,2,0,Zona Sul
351152,91,3,3,2,Zona Sul
449888,66,1,1,2,Zona Sul
850903,196,4,1,1,Zona Sul
242193,278,2,3,1,Zona Sul
186187,195,3,3,2,Centro
655950,175,4,3,0,Centro
288311,183,2,1,2,Centro
950921,145,4,3,2,Zona Norte
658153,197,2,1,2,Subúrbio
339089,185,3,3,2,Zona Sul
736165,41,4,1,1,Zona Norte
586341,116,4,1,1,Zona Sul
462066,171,1,2,0,Centro
768362,129,3,3,0,Zona Norte
837409,147,2,3,0,Centro
711419,113,4,1,0,Zona Sul
790053,78,4,1,2,Zona Sul
781172,198,2,1,1,Subúrbio
275917,110,3,2,1,Zona Sul
960717,280,1,2,0,Centro
449770,75,1,1,0,Zona Sul
848168,123,4,3,2,Subúrbio
631680,211,2,3,2,Subúrbio
431342,212,4,2,0,Centro
689542,86,2,2,1,Zona Norte
194238,180,1,1,1,Zona Sul
151252,157,3,3,1,Subúrbio
976196,253,2,1,0,Zona Sul
635450,259,1,2,1,Zona Sul
465826,65,4,3,2,Zona Norte
471638,48,2,3,2,Subúrbio
755605,49,3,2,0,Zona Sul
477359,160,4,1,2,Subúrbio
752875,164,4,1,0,Centro
156949,209,1,3,1,Centro
913185,111,2,2,1,Zona Sul
467537,191,4,3,1,Subúrbio
878913,247,3,2,2,Zona Sul
812301,88,2,1,0,Subúrbio
700222,193,3,2,1,Subúrbio
930722,107,4,1,0,Zona Norte
605102,89,3,2,1,Zona Norte
487889,191,1,3,2,Zona Norte
626467,58,3,1,2,Zona Sul
506600,139,2,3,0,Zona Norte
465557,99,3,3,2,Zona Norte
454462,206,3,1,2,Centro
400875,241,1,1,0,Subúrbio
613389,185,3,3,1,Subúrbio
220390,203,3,3,2,Zona Norte
857689,281,4,3,0,Subúrbio
403490,108,4,3,2,Centro
717376,214,2,1,2,Centro
397940,88,4,1,2,Zona Norte
515340,147,4,3,2,Centro
583027,265,4,2,0,Subúrbio
658041,200,4,2,0,Zona Sul
467623,158,1,1,0,Subúrbio
366464,188,4,3,2,Zona Sul
892729,189,1,3,2,Zona Norte
660736,182,1,1,2,Zona Sul
956395,199,4,2,0,Centro
467267,50,3,2,2,Subúrbio
800199,177,1,2,1,Zona Sul
373777,117,3,1,2,Subúrbio
950820,116,3,2,1,Zona Norte
155569,293,4,1,2,Zona Norte
744124,297,2,1,0,Centro
778861,124,4,3,2,Zona Norte
579802,185,2,2,1,Zona Sul
408090,81,2,1,1,Zona Norte
817375,164,4,2,2,Centro
195002,206,4,2,1,Subúrbio
921954,280,2,3,1,Subúrbio
811614,227,4,2,0,Zona Norte
829574,58,2,3,2,Zona Sul
648870,107,3,1,2,Centro
361791,257,4,2,2,Zona Sul
352846,141,3,1,1,Centro
811450,81,1,2,2,Zona Norte
816997,206,3,1,2,Centro
827775,148,3,2,0,Centro
174071,75,2,2,0,Zona Norte
732531,271,3,2,0,Zona Sul
322312,268,4,2,1,Zona Norte
407218,203,2,2,2,Centro
364879,112,1,2,0,Zona Norte
513714,175,4,2,0,Centro
576650,109,1,2,0,Zona Norte
481868,235,3,2,2,Subúrbio
703020,88,4,1,2,Subúrbio
795753,169,4,3,2,Zona Norte
567170,44,1,2,1,Zona Sul
207108,66,4,3,1,Centro
630721,199,4,2,0,Subúrbio
261195,188,4,2,2,Zona Sul
186668,269,3,1,0,Centro
435205,239,1,1,2,Subúrbio
491396,89,4,3,2,Subúrbio
714037,106,2,1,2,Zona Norte
280560,97,2,1,1,Centro
516824,298,2,3,1,Zona Sul
297979,169,2,1,2,Zona Sul
299849,254,3,2,0,Zona Sul
898589,211,4,3,2,Centro
201745,297,1,3,2,Zona Sul
520608,141,4,2,0,Zona Sul
241865,248,3,1,2,Zona Sul
362890,155,2,3,0,Zona Norte
173624,189,3,3,1,Zona Norte
